"Location_Y_Step250","Location_X_Step250","Location","Hour","average_ParticipantsAtLocation","average_UpdateCount_AtHome","average_UpdateCount_AtRecreation","average_UpdateCount_AtRestaurant","average_UpdateCount_Transport","average_TotalUpdates"
"6250","-3000","-3000,6250","01","4.583333333333334","47.5","0","0","0.5833333333333333","48.083333333333336"
"3750","-750","-750,3750","01","1.1666666666666667","12","0","0","0.24999999999999997","12.25"
"3500","-250","-250,3500","01","4","48","0","0","0","48"
"6500","-4000","-4000,6500","01","6.583333333333335","68.00000000000001","0","0","0.9166666666666667","68.91666666666666"
"5000","-4250","-4250,5000","01","14.333333333333332","157.66666666666669","0","0","1.0833333333333333","158.75"
"2500","1000","1000,2500","01","2","24","0","0","0","24"
"5750","-4000","-4000,5750","01","5","59.833333333333336","0","0","0","59.833333333333336"
"750","-2000","-2000,750","01","1","12","0","0","0","12"
"3500","1500","1500,3500","01","5","59.41666666666666","0","0","0","59.41666666666666"
"5000","-4000","-4000,5000","01","2.25","12","0","0","1.25","13.249999999999998"
"3250","-1250","-1250,3250","01","9.416666666666668","113","0","0","0","113"
"4000","-1250","-1250,4000","01","3","36","0","0","0","36"
"7500","-3500","-3500,7500","01","1","12","0","0","0","12"
"3250","1500","1500,3250","01","6.333333333333333","69.83333333333333","0","0","0.49999999999999994","70.33333333333333"
"1750","-500","-500,1750","01","12.75","120","0","0","2.7500000000000004","122.75"
"7500","-4250","-4250,7500","01","10.249999999999998","117","0","0","0.6666666666666667","117.66666666666667"
"7500","-3750","-3750,7500","01","3.9166666666666665","45.75","0","0","0.08333333333333333","45.833333333333336"
"1000","250","250,1000","01","1","12","0","0","0","12"
"3500","-1250","-1250,3500","01","5.916666666666667","71","0","0","0","71"
"4000","250","250,4000","01","1.2222222222222223","12","0","0","0.2222222222222222","12.222222222222221"
"3500","-1750","-1750,3500","01","5","60","0","0","0","60"
"7000","-3750","-3750,7000","01","5.090909090909091","32.72727272727273","0","0","2.3636363636363638","35.09090909090909"
"2500","500","500,2500","01","1.9166666666666663","21.166666666666668","0","0","0","21.166666666666668"
"1500","-1000","-1000,1500","01","6.416666666666666","23.75","0","0","4.416666666666666","28.166666666666668"
"2500","-2250","-2250,2500","01","10.25","122.5","0","0","0.16666666666666669","122.66666666666667"
"2750","-1500","-1500,2750","01","8.916666666666666","97.83333333333333","0","0","0.75","98.58333333333333"
"3000","-1000","-1000,3000","01","8.333333333333332","100","0","0","0","100"
"5250","1750","1750,5250","01","7","83.33333333333334","0","0","0","83.33333333333334"
"500","500","500,500","01","1","12","0","0","0","12"
"3250","1250","1250,3250","01","7","83.75","0","0","0","83.75"
"4750","-500","-500,4750","01","5","59.916666666666664","0","0","0","59.916666666666664"
"2250","-1250","-1250,2250","01","2","24","0","0","0","24"
"3250","750","750,3250","01","2.833333333333333","12","0","0","1.8333333333333333","13.833333333333334"
"2000","-2000","-2000,2000","01","4.25","50.916666666666664","0","0","0","50.916666666666664"
"7000","-4250","-4250,7000","01","4.75","41.916666666666664","0","0","1.0833333333333333","43"
"5500","-4000","-4000,5500","01","4.25","44.666666666666664","0","0.08333333333333333","0.41666666666666663","45.166666666666664"
"5500","-1750","-1750,5500","01","4.416666666666666","53","0","0","0","53"
"750","250","250,750","01","1.9166666666666663","21.75","0","0","0","21.75"
"5500","-4250","-4250,5500","01","4.666666666666667","51.91666666666666","0","0","0.33333333333333337","52.25"
"7250","-3750","-3750,7250","01","9.666666666666668","94.41666666666666","0","0","1.6666666666666667","96.08333333333333"
"6750","-3750","-3750,6750","01","3.6666666666666665","33.50000000000001","0","0","0.7500000000000001","34.25000000000001"
"3000","500","500,3000","01","1","12","0","0","0","12"
"3000","-1250","-1250,3000","01","13.75","162.83333333333331","0","0","0","162.83333333333331"
"1250","-750","-750,1250","01","2","23.25","0","0","0","23.25"
"7500","-3250","-3250,7500","01","7.583333333333334","88.91666666666667","0","0","0","88.91666666666667"
"5250","2000","2000,5250","01","4","48","0","0","0","48"
"7250","-3250","-3250,7250","01","6.333333333333333","74.91666666666667","0","0","0","74.91666666666667"
"0","0","0,0","01","2","24","0","0","0","24"
"6250","-3250","-3250,6250","01","6.416666666666667","15.666666666666664","0","0","5.083333333333334","20.75"
"7000","-4000","-4000,7000","01","1.5833333333333333","16.083333333333336","0","0","0.16666666666666669","16.249999999999996"
"5750","-1500","-1500,5750","01","9.583333333333332","48","0","0","5.583333333333333","53.583333333333336"
"4500","2250","2250,4500","01","2.6666666666666665","21","0","0","0.9166666666666666","21.916666666666668"
"6500","-3250","-3250,6500","01","7.750000000000001","56.916666666666664","2.4166666666666665","0","3.25","62.58333333333333"
